area,이산화탄소,미세먼지,초미세먼지
서울,76943.34765,15998.39722,4514.720753
부산,31062.37662,8094.355844,3276.401299
대구,18589.97736,4507.213356,1516.940577
인천,36922.01881,6776.570085,2397.079962
광주,15084.4154,4042.747406,1204.626895
대전,16490.9874,3048.751389,1054.801778
울산,27705.07663,3596.689688,2067.348155
세종시,9030.423474,1970.425623,658.0051591
경기도,12286.56907,2941.498869,971.3605349
강원도,3007.189807,559.1460148,246.0792889
충북,5361.007669,1208.009148,466.7295843
충남,7794.20746,3878.920283,1866.670039
경북,4735.097162,2020.428586,975.2911193
경남,4297.388483,1071.838156,410.8482117
전북,5624.304822,1400.551134,536.8477749
전남,5195.877194,2039.495632,914.8904221
평균,17508.14156,3947.189902,1442.415097
